山西黄河HD,rtp://226.0.2.235:9792
山西经济与科技HD,rtp://226.0.2.236:9800
山西影视HD,rtp://226.0.2.237:9808
山西社会与法制HD,rtp://226.0.2.238:9816
山西文体生活HD,rtp://226.0.2.16:8040
第一剧场,rtp://226.0.2.221:9680
怀旧剧场,rtp://226.0.2.224:9704
风云剧场,rtp://226.0.2.227:9728
兵器科技,rtp://226.0.2.223:9696
风云音乐,rtp://226.0.2.220:9672
世界地理,rtp://226.0.2.222:9688
CHC家庭影院,rtp://226.0.2.240:9820
CHC动作电影,rtp://226.0.2.94:8012
CHC高清电影,rtp://226.0.2.93:8004
CCTV1HD,rtp://226.0.2.153:9136
CCTV2HD,rtp://226.0.2.154:9144
CCTV3HD,rtp://226.0.2.208:9576
CCTV4HD,rtp://226.0.2.156:9160
CCTV5HD,rtp://226.0.2.209:9584
CCTV5+HD,rtp://226.0.2.168:9256
CCTV6HD,rtp://226.0.2.210:9592
CCTV7HD,rtp://226.0.2.210:9592
CCTV8HD,rtp://226.0.2.211:9600
CCTV9HD,rtp://226.0.2.161:9200
CCTV10HD,rtp://226.0.2.162:9208
CCTV11HD,rtp://226.0.2.28:8136
CCTV12HD,rtp://226.0.2.164:9224
CCTV13HD,rtp://226.0.2.165:9232
CCTV14HD,rtp://226.0.2.166:9240
CCTV15HD,rtp://226.0.2.32:8168
CCTV16HD,rtp://226.0.2.169:9264
CCTV17HD,rtp://226.0.2.170:9272
湖南卫视HD,rtp://226.0.2.143:9056


